season,log_loss,accuracy,auc_roc,n_games
2003,0.345876699328598,0.84375,0.92822265625,64
2004,0.3973251753561283,0.828125,0.895263671875,64
2005,0.33115998696194016,0.90625,0.9443359375,64
2006,0.34487959892903597,0.796875,0.923095703125,64
2007,0.29736519701370756,0.859375,0.960205078125,64
2008,0.30055196102644566,0.90625,0.94921875,64
2009,0.31923118429341,0.859375,0.947509765625,64
2010,0.4050617902854524,0.8125,0.896484375,64
2011,0.4017256522375048,0.835820895522388,0.8990866562708845,67
2012,0.39683001726059947,0.8507462686567164,0.9184673646691914,67
2013,0.316180110820653,0.8208955223880597,0.9509913120962352,67
2014,0.3922393860613233,0.7761194029850746,0.8977500556916908,67
2015,0.35339315481171435,0.8507462686567164,0.9278235687235464,67
2016,0.396733829014093,0.835820895522388,0.8990866562708844,67
2017,0.356705983854726,0.8507462686567164,0.9278235687235465,67
2018,0.3832449847048757,0.8208955223880597,0.9095566941412341,67
2019,0.36619951997703626,0.835820895522388,0.9155713967476052,67
2021,0.4175843673241033,0.803030303030303,0.897842056932966,66
2022,0.3581925885752254,0.8208955223880597,0.9198039652483849,67
2023,0.394937889207174,0.7761194029850746,0.903987525061261,67
2024,0.36405470209643137,0.8656716417910447,0.9173535308531967,67
